Distance [m];volta 1 [km/h];volta2 [km/h];volta3 [km/h];volta4 [km/h];volta5 [km/h];volta6 [km/h];volta7 [km/h]
988.80;90.472;133.866;138.625;133.552;133.965;144.094;159.876
992.28;92.599;134.488;140.855;134.748;135.340;145.139;160.967
995.79;96.330;136.440;140.571;135.956;138.025;145.471;161.679
999.34;95.968;136.888;142.345;137.268;138.570;145.429;161.409
1002.92;98.514;137.773;142.962;138.996;139.905;145.826;162.176
1006.54;100.688;138.285;144.609;140.256;140.045;146.710;164.140
1010.18;102.198;139.561;144.844;142.468;140.975;148.136;164.297
1013.86;102.848;141.637;146.327;143.040;142.455;148.671;164.106
1017.56;101.664;142.379;146.708;144.304;143.520;151.469;164.294
1021.30;101.536;143.370;147.809;144.580;143.955;152.529;165.852
1025.07;101.610;144.370;148.125;145.408;145.030;153.068;167.355
1028.86;101.452;145.079;150.319;145.512;145.665;154.010;165.848
1032.68;102.690;146.070;149.671;146.792;146.930;154.655;166.867
1036.54;103.190;146.488;151.454;147.424;147.595;155.865;169.131
1040.42;103.762;148.343;152.153;148.380;149.410;157.507;167.939
1044.33;104.608;149.467;153.817;150.040;149.705;157.510;168.676
1048.27;105.226;149.694;155.279;151.240;151.740;158.210;170.252
1052.24;105.764;151.446;157.938;151.572;152.542;158.670;170.591
1056.24;105.798;151.306;156.471;153.192;153.393;161.080;170.309
1060.27;106.808;153.337;158.227;153.856;154.290;160.980;171.852
1064.32;107.408;154.467;158.707;154.464;155.980;162.005;174.907
1068.41;107.881;154.403;160.674;155.304;155.695;164.155;171.993
1072.52;107.230;154.976;159.589;156.768;157.520;163.890;174.131
1076.70;105.047;155.384;161.023;157.096;158.080;163.430;174.814
1080.86;105.834;158.184;156.209;158.461;161.355;165.290;175.448
1085.05;104.719;159.260;156.210;160.062;158.640;166.240;176.081
1089.26;104.667;158.820;155.030;160.340;159.550;166.650;176.391
1093.50;104.043;160.528;152.543;159.594;162.385;166.870;176.982
1097.76;102.086;160.648;155.023;161.427;162.115;162.980;177.485
1102.05;101.182;160.698;155.273;162.634;162.515;161.024;175.291
1106.36;99.580;164.252;155.554;162.764;164.682;162.763;175.203
1110.71;100.120;164.016;156.154;164.059;164.472;164.704;177.528
1115.08;99.280;163.712;156.925;165.732;165.312;165.959;177.115
1119.47;99.140;164.372;159.182;164.515;160.716;167.680;178.458
1123.89;100.340;166.416;159.090;160.840;159.514;168.921;178.597
1128.33;99.800;166.692;160.036;159.797;161.480;169.303;178.503
1132.78;100.180;163.148;160.625;161.588;164.360;169.454;181.604
1137.25;100.080;162.616;162.882;164.693;165.348;170.673;179.663
1141.72;100.040;163.656;162.745;165.968;166.130;171.752;180.570
1146.19;100.280;166.292;163.245;165.634;166.702;171.931;180.115
1150.66;100.580;166.304;163.862;166.523;168.360;173.211;181.167
1155.15;100.700;167.452;165.518;169.095;169.252;173.662;181.879
1159.64;101.340;169.324;165.709;169.836;168.608;174.635;181.997
1164.14;100.980;169.020;165.881;169.564;170.384;174.824;181.709
1168.67;102.160;170.235;166.835;169.902;171.634;176.332;183.058
1173.22;102.580;171.440;168.218;170.160;170.726;177.644;182.421
1177.81;103.380;171.738;168.571;171.962;172.718;177.424;183.370
1182.42;103.740;171.988;170.286;172.537;173.024;177.812;182.721
1187.05;104.110;173.710;170.136;172.361;173.496;178.644;185.513
1191.70;104.564;173.420;170.153;173.698;175.084;181.076;183.078
1196.35;103.363;176.060;171.808;174.067;176.436;180.196;184.455
1201.01;103.747;176.485;172.927;175.452;177.024;181.068;186.828
1205.68;104.594;176.785;173.524;177.311;177.352;182.784;184.184
