Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
1,341227436;-3,254241943;-0,258575439;-0,441665649;3,294240494
1,345194721;-4,331634521;-0,229858398;0,02520752;4,3378022
1,349192524;-5,191146851;-0,201126099;0,446594238;5,21420212
1,353190327;-6,031524658;-0,15802002;0,767410278;6,082201786
1,35718813;-7,058624268;-0,059860229;1,265411377;7,171403332
1,361185932;-8,341918945;0,059844971;2,002822876;8,579189506
1,365153217;-9,230178833;0,29927063;2,517578125;9,572040734
1,36915102;-9,680282593;0,62008667;2,711502075;10,0719721
1,373148823;-10,33151245;0,904998779;2,864730835;10,75945422
1,377146626;-10,94442749;1,163574219;2,986831665;11,40419052
1,381144428;-11,27960205;1,309616089;3,061065674;11,76072446
1,385111714;-11,38973999;1,352722168;2,910217285;11,83323282
1,389109516;-11,4974823;1,460449219;2,393081665;11,83435047
1,393107319;-11,52142334;1,453277588;1,495254517;11,70858649
1,397105122;-11,26045227;1,398208618;0,432220459;11,35515685
1,401072407;-10,93484497;1,398208618;-0,64994812;11,04301836
1,40507021;-10,75288391;1,417358398;-1,576507568;10,95987196
1,409068012;-10,53739929;1,355102539;-2,086471558;10,82711643
1,413065815;-10,0561676;1,233001709;-2,017044067;10,33030817
1,417063618;-9,100891113;1,470031738;-1,839874268;9,400656875
1,421030903;-7,640426636;1,994354248;-1,665100098;8,070075983
1,425028706;-6,218261719;2,590515137;-1,547775269;6,911812769
1,429026509;-4,717102051;3,217803955;-1,521438599;5,90932225
1,433024311;-3,156082153;4,103652954;-1,590881348;5,415877176
1,437022114;-1,350860596;5,248077393;-1,739318848;5,691429585
1,440989399;0,50944519;6,502639771;-2,033798218;6,832290507
1,444987202;2,309875488;7,747634888;-2,335464478;8,415210363
1,448985005;2,309875488;9,062042236;-2,907684326;9,793404025
1,452982807;3,997787476;10,62785339;-4,329849243;12,15241404
1,456950092;5,716827393;12,25590515;-6,41519165;14,96809976
1,460947895;7,07194519;13,8911438;-8,660949707;17,83222742
1,464945698;8,336090088;15,64370728;-10,24111938;20,47184656
1,468943501;10,03596497;17,66920471;-11,13894653;23,1732069
1,472941303;12,37271118;19,80482483;-11,3711853;25,97342726
1,476908589;15,16674805;21,78723145;-11,06951904;28,76191844
1,480906391;18,17625427;23,51344299;-10,76066589;31,60775461
1,484904194;21,15942383;25,08883667;-10,26507568;34,38811889
1,488901997;24,12823486;26,17100525;-9,486953735;36,83877746
1,4928998;26,5368042;26,32183838;-8,895584106;38,42099126
1,496867085;27,2407074;25,80947876;-9,146972656;38,62450572
1,500864887;26,54638672;24,9763031;-9,776657104;37,7373739
1,50486269;25,39956665;23,63793945;-9,977767944;36,10326884
1,508860493;23,93191528;21,80877686;-9,149368286;33,64625175
1,512827778;22,03330994;19,95326233;-7,408782959;30,63477582
1,516825581;19,96951294;18,04508972;-5,242034912;27,42053318
1,520823384;17,75248718;16,08184814;-2,924438477;24,13149356
1,524821186;15,49475098;14,4178772;-0,2237854;21,16630744
1,528818989;13,63446045;12,86882019;2,991622925;18,98564859
1,532786274;11,23068237;11,03726196;5,850311279;16,79808085
1,536784077;7,52684021;9,294281006;7,756088257;14,25460936
1,54078188;-1,034820557;7,965499878;8,732925415;11,86524455
1,544779682;-5,289321899;6,897689819;9,214157104;12,66711262
1,548777485;-9,124832153;6,035766602;9,681030273;14,60874353
1,55274477;-12,5269928;5,480316162;10,50941467;17,24549827
1,556742573;-15,36412048;5,267242432;11,44076538;19,86683552
1,560740376;-17,33934021;5,336669922;12,20211792;21,86377018
1,564738178;-18,76148987;5,468353271;12,97065735;23,4549428
1,568705464;-20,25547791;5,506652832;13,9881897;25,22453293
1,572703266;-21,5818634;5,363006592;14,71124268;26,6638206
1,576701069;-22,72389221;4,960769653;14,68490601;27,50692599
1,580698872;-23,60017395;4,431655884;13,56202698;27,5778237
1,584696675;-24,04310608;3,952819824;11,63948059;27,00320801
1,58866396;-23,67918396;3,543411255;9,434417725;25,73456341
1,592661762;-23,67918396;3,112457275;7,289215088;24,97045854
1,596659565;-20,91867065;2,782058716;5,428924561;21,78999437
